X,Y,Curve
736646.2966,3007418.377,0
736636.3241,3007417.223,0
736626.4813,3007416.082,0
736616.5539,3007415.063,0
736606.7112,3007414.175,0
736596.831,3007413.283,0
736586.7678,3007412.364,0
736576.7098,3007411.433,0
736566.53,3007410.492,0
736556.6528,3007409.386,0
736546.8808,3007408.12,0
736537.0613,3007406.847,0
736527.3108,3007405.438,0
736517.4271,3007403.893,0
736507.6284,3007402.361,0
736497.7555,3007401.292,0
736487.8885,3007400.536,0
736478.0789,3007399.785,0
736468.1668,3007398.534,0
736458.3997,3007397.06,1
736448.4883,3007395.564,1
736438.6914,3007394.041,0
736428.9086,3007392.508,0
736419.0585,3007390.963,0
736409.3641,3007389.582,0
736399.5803,3007388.202,0
736389.859,3007386.821,0
736380.0829,3007385.3,0
736370.2358,3007383.756,0
736360.4726,3007382.233,0
736350.5645,3007380.722,0
736340.764,3007379.229,0
736330.9436,3007377.794,0
736321.2045,3007376.519,0
736311.5651,3007375.263,0
736301.7392,3007373.962,0
736291.9317,3007372.63,0
736282.0609,3007371.289,0
736272.2406,3007370.007,0
736262.5092,3007368.789,0
736252.6701,3007367.557,0
736242.931,3007366.278,0
736233.0601,3007364.941,0
736223.2377,3007363.612,0
736213.4728,3007362.284,0
736203.6624,3007360.948,0
736193.9806,3007359.63,0
736184.0977,3007358.352,0
736174.3104,3007357.103,0
736164.5162,3007355.853,0
736154.5282,3007354.628,0
736144.6657,3007353.426,0
736134.7033,3007352.208,0
736124.9162,3007350.901,0
736115.1094,3007349.581,0
736105.2801,3007348.249,0
736095.5445,3007346.838,0
736085.6805,3007345.401,0
736075.9428,3007343.995,0
736066.1173,3007342.671,0
736056.3015,3007341.355,0
736046.5474,3007340.029,0
736036.6535,3007338.601,0
736026.8872,3007337.186,0
736017.0179,3007335.818,0
736007.1472,3007334.681,0
735997.2941,3007333.559,0
735987.3862,3007332.392,0
735977.6725,3007331.135,0
735967.8678,3007329.862,0
735958.1165,3007328.597,0
735948.3166,3007327.331,0
735938.4515,3007326.056,0
735928.6981,3007324.85,0
735918.8166,3007323.757,0
735909.0122,3007322.677,0
735899.2234,3007321.563,0
735889.4419,3007320.373,0
735879.7831,3007319.196,0
735869.9565,3007317.929,0
735860.2017,3007316.537,0
735850.3737,3007315.131,0
735840.498,3007313.784,0
735830.5654,3007312.567,0
735820.51,3007311.339,0
735810.6867,3007310.051,0
735800.9383,3007308.579,0
735791.2573,3007307.112,0
735781.536,3007305.882,0
735771.5119,3007305.2,0
735761.638,3007304.545,0
735751.6278,3007303.809,0
735741.6423,3007302.865,0
735731.6867,3007301.916,0
735721.6531,3007300.895,0
735711.7667,3007299.647,0
735701.7894,3007298.376,0
735691.9584,3007297.131,0
735682.1382,3007295.941,0
735672.2754,3007294.749,0
735662.5047,3007293.567,0
735652.6542,3007292.301,0
735642.9255,3007291.048,0
735633.1166,3007289.785,0
735623.2224,3007288.421,0
735613.3512,3007287.048,0
735603.3514,3007285.658,0
735593.5934,3007284.375,0
735583.7451,3007283.099,0
735573.8998,3007281.823,0
735564.1432,3007280.315,0
735554.2843,3007278.706,0
735544.5876,3007277.122,0
735534.766,3007275.589,0
735525.0456,3007274.105,0
735515.3449,3007272.626,0
735505.4904,3007271.152,0
735495.7434,3007269.713,0
735485.8401,3007268.251,0
735476.1632,3007266.822,0
735466.5833,3007265.407,0
735456.947,3007263.983,0
735447.2968,3007262.505,0
735437.363,3007260.928,0
735427.5616,3007259.374,0
735417.6634,3007257.853,0
735407.7264,3007256.391,0
735397.8537,3007254.938,0
735387.9199,3007253.569,0
735378.2217,3007252.372,0
735368.4148,3007251.164,0
735358.6584,3007249.85,0
735348.9266,3007248.337,0
735339.1098,3007246.807,0
735329.4608,3007245.272,0
735319.7311,3007243.644,0
735310.0945,3007242.029,0
735300.4465,3007240.433,0
735290.5916,3007238.877,0
735280.8691,3007237.342,0
735271.0216,3007235.816,0
735261.1891,3007234.484,0
735251.3418,3007233.158,0
735241.4232,3007231.822,0
735231.7352,3007230.505,0
735221.9148,3007229.167,0
735212.2111,3007227.846,0
735202.3506,3007226.482,0
735192.4278,3007225.106,0
735182.5613,3007223.739,0
735172.7588,3007222.242,0
735163.13,3007220.733,0
735153.3589,3007219.201,0
735143.5778,3007217.775,0
735133.8286,3007216.397,0
735123.9616,3007215.001,0
735114.194,3007213.652,0
735104.2747,3007212.297,0
735094.4208,3007210.952,0
735084.6367,3007209.525,0
735074.7155,3007208.015,0
735064.8436,3007206.513,0
735054.846,3007205.107,0
735044.9902,3007203.805,0
735035.1087,3007202.5,0
735025.1415,3007201.162,0
735015.2972,3007199.828,0
735005.2195,3007198.463,0
734995.6059,3007197.304,0
734985.8166,3007196.209,0
734975.1981,3007195.019,0
734965.2602,3007193.71,0
734955.3404,3007192.383,1
734945.6322,3007191.14,1
734935.8575,3007189.951,0
734926.2807,3007188.787,0
734916.7002,3007187.292,0
734906.9256,3007185.732,0
734897.2223,3007184.228,0
734887.3768,3007182.799,0
734877.6786,3007181.393,0
734867.7816,3007180.225,0
734857.7033,3007179.154,0
734847.8372,3007178.077,0
734838.0333,3007176.544,0
734828.3968,3007175.021,0
734818.7944,3007173.585,0
734809.1185,3007172.312,0
734799.6295,3007171.065,0
734789.8675,3007169.673,0
734780.1548,3007168.197,0
734770.4677,3007166.725,0
734760.6363,3007165.336,0
734750.9109,3007164.005,0
734741.0916,3007162.661,0
734731.3577,3007161.251,0
734721.5174,3007159.81,0
734711.7285,3007158.377,0
734701.9739,3007156.913,0
734692.1095,3007155.431,0
734682.4271,3007153.974,0
734672.5476,3007152.613,0
734662.7363,3007151.264,0
734652.9715,3007149.917,0
734643.0029,3007148.443,0
734633.2301,3007146.996,0
734623.3801,3007145.54,0
734613.7134,3007144.145,0
734604.0476,3007142.751,0
734594.3255,3007141.35,0
734584.5594,3007139.968,0
734574.6301,3007138.565,0
734564.8522,3007137.177,0
734555.0144,3007135.653,0
734545.1777,3007134.125,0
734535.42,3007132.608,0
734525.4884,3007131.379,0
734515.7267,3007130.187,0
734505.8323,3007128.979,0
734496.0813,3007127.744,0
734486.3798,3007126.51,0
734476.5705,3007125.262,0
734466.7967,3007123.815,0
734456.8831,3007122.311,0
734447.018,3007120.816,0
734437.2217,3007119.348,0
734427.3097,3007117.87,0
734417.5232,3007116.409,0
734407.6027,3007114.961,0
734397.7393,3007113.53,0
734387.8482,3007112.095,0
734377.9456,3007110.593,0
734368.2213,3007109.096,0
734358.3071,3007107.571,0
